CoreNumber,LineCurrent(A),Load(Ω),VLoad(V),IWinding(mA),Power(mW)
1,5,10,0.077,6.82,0.52514
1,10,10,0.152,13.52,2.05504
1,15,10,0.226,19.89,4.49514
1,20,10,0.3,26.62,7.986
1,25,10,0.374,33.02,12.34948
1,30,10,0.45,39.66,17.847
1,35,10,0.525,46.17,24.23925
1,40,10,0.599,52.74,31.59126
1,45,10,0.675,59.29,40.02075
1,50,10,0.751,66.4,49.8664
1,55,10,0.823,72.8,59.9144
1,60,10,0.899,79.4,71.3806
1,65,10,0.974,86,83.764
1,70,10,1.048,92.5,96.94
1,75,10,1.124,99.3,111.6132
1,80,10,1.193,105.7,126.1001
1,85,10,1.264,112.4,142.0736
1,90,10,1.328,118.8,157.7664
1,95,10,1.391,124.9,173.7359
1,100,10,1.447,131.6,190.4252
1,5,20,0.141,6.77,0.95457
1,10,20,0.277,13.14,3.63978
1,15,20,0.416,19.88,8.27008
1,20,20,0.555,26.42,14.6631
1,25,20,0.689,32.63,22.48207
1,30,20,0.829,39.18,32.48022
1,35,20,0.968,45.85,44.3828
1,40,20,1.106,52.44,57.99864
1,45,20,1.236,58.46,72.25656
1,50,20,1.375,65.6,90.2
1,55,20,1.509,72,108.648
1,60,20,1.637,78.2,128.0134
1,65,20,1.752,83.6,146.4672
1,70,20,1.859,88.8,165.0792
1,75,20,1.947,93.1,181.2657
1,80,20,2.023,97,196.231
1,85,20,2.091,100.5,210.1455
1,90,20,2.151,103.6,222.8436
1,95,20,2.204,106.6,234.9464
1,100,20,2.253,109.5,246.7035
1,5,30,0.205,6.76,1.3858
1,10,30,0.402,13.07,5.25414
1,15,30,0.599,19.41,11.62659
1,20,30,0.801,25.89,20.73789
1,25,30,1.005,32.51,32.67255
1,30,30,1.201,38.79,46.58679
1,35,30,1.398,45.16,63.13368
1,40,30,1.582,51.12,80.87184
1,45,30,1.769,57.6,101.8944
1,50,30,1.922,62.6,120.3172
1,55,30,2.042,66.5,135.793
1,60,30,2.152,69.8,150.2096
1,65,30,2.251,73.1,164.5481
1,70,30,2.331,75.6,176.2236
1,75,30,2.407,78.3,188.4681
1,80,30,2.48,80.7,200.136
1,85,30,2.546,82.9,211.0634
1,90,30,2.608,84.8,221.1584
1,95,30,2.665,86.8,231.322
1,100,30,2.718,88.9,241.6302
1,5,50,0.323,6.37,2.05751
1,10,50,0.641,12.59,8.07019
1,15,50,0.975,19.11,18.63225
1,20,50,1.289,25.27,32.57303
1,25,50,1.598,31.28,49.98544
1,30,50,1.859,36.39,67.64901
1,35,50,2.067,40.45,83.61015
1,40,50,2.233,43.68,97.53744
1,45,50,2.372,46.41,110.08452
1,50,50,2.499,48.92,122.25108
1,55,50,2.609,51.05,133.18945
1,60,50,2.709,52.98,143.52282
1,65,50,2.799,54.74,153.21726
1,70,50,2.884,56.43,162.74412
1,75,50,2.964,57.95,171.7638
1,80,50,3.034,59.24,179.73416
1,85,50,3.106,61.6,191.3296
1,90,50,3.171,62.7,198.8217
1,95,50,3.232,63.9,206.5248
1,100,50,3.289,65,213.785
1,5,80,0.503,6.18,3.10854
1,10,80,0.998,12.22,12.19556
1,15,80,1.478,18.05,26.6779
1,20,80,1.875,22.93,42.99375
1,25,80,2.151,26.29,56.54979
1,30,80,2.369,29.02,68.74838
1,35,80,2.544,31.18,79.32192
1,40,80,2.698,33.07,89.22286
1,45,80,2.837,34.81,98.75597
1,50,80,2.955,36.28,107.2074
1,55,80,3.067,37.66,115.50322
1,60,80,3.17,38.98,123.5666
1,65,80,3.265,40.07,130.82855
1,70,80,3.352,41.21,138.13592
1,75,80,3.434,42.32,145.32688
1,80,80,3.507,43.21,151.53747
1,85,80,3.582,44.09,157.93038
1,90,80,3.65,44.98,164.177
1,95,80,3.716,45.74,169.96984
1,100,80,3.778,46.45,175.4881
2,5,1.50,0.0182,9.49,0.172718
2,10,1.50,0.0369,19.83,0.731727
2,15,1.50,0.0551,29.45,1.622695
2,20,1.50,0.0738,38.95,2.87451
2,25,1.50,0.0915,49.2,4.5018
2,30,1.50,0.109,59.2,6.4528
2,35,1.50,0.128,68.5,8.768
2,40,1.50,0.148,74.9,11.0852
2,45,1.50,0.165,88.6,14.619
2,50,1.50,0.184,98.7,18.1608
2,55,1.50,0.205,108.1,22.1605
2,60,1.50,0.225,119.1,26.7975
2,65,1.50,0.242,128.5,31.097
2,70,1.50,0.261,137.6,35.9136
2,75,1.50,0.279,148.2,41.3478
